"","X","identity_salience","accuracy"
"1",1,2,0.363636
"2",2,2,0.5
"3",3,1,0.25
"4",4,1,0.7
"5",5,2,0.571429
"6",8,1,0.444444
"7",9,1,0.285714
"8",10,1,0.727273
"9",12,1,0.666667
"10",15,2,0.5
"11",17,2,0.416667
"12",22,1,0.571429
"13",23,2,0.8
"14",26,2,0.25
"15",27,1,0.333333
"16",28,1,0.333333
"17",30,1,0.5
"18",32,2,0.444444
"19",33,1,0.166667
"20",34,1,0.75
"21",35,1,0.285714
"22",36,1,0.5
"23",37,2,0.416667
"24",38,2,0.333333
"25",39,1,0.5
"26",40,2,0.583333
"27",41,1,0.333333
"28",42,2,0.583333
"29",43,1,0.272727
"30",46,2,0.75
"31",47,2,0.666667
"32",49,2,0.666667
"33",53,1,0.5
"34",54,2,0.25
"35",55,2,0.666667
"36",57,2,0.416667
"37",58,1,0.583333
"38",59,2,0.5
"39",60,1,0.454545
"40",61,1,0.833333
"41",62,1,0.166667
"42",63,1,0.333333
"43",64,2,0.5
"44",67,1,0.75
"45",68,2,0.777778
"46",70,2,0.333333
"47",71,2,0.25
"48",72,2,0.5
"49",73,2,0.3
"50",74,1,0.5
"51",75,2,0.5
"52",76,1,0.5
"53",78,1,0.583333
"54",79,2,0.583333
"55",80,2,0.6
"56",81,1,0.272727
"57",82,2,0.777778
"58",83,2,0.5
"59",84,1,0.5
"60",85,2,0.6
"61",86,2,0.166667
"62",87,2,0.666667
"63",88,2,0.583333
"64",90,1,0.416667
"65",91,1,0.583333
"66",94,2,0.727273
"67",95,1,0.25
"68",96,1,0.3
"69",97,1,0.666667
"70",98,1,0.571429
"71",100,2,0.25
"72",101,1,0.166667
"73",102,1,0.333333
"74",103,1,0.3
"75",104,1,0.6
"76",105,2,0.666667
"77",106,1,0.555556
"78",107,1,0.4
"79",108,1,0.333333
"80",110,2,0.416667
"81",111,2,0.833333
"82",114,2,0.333333
"83",115,2,0.416667
"84",116,1,0.5
"85",117,1,0.714286
"86",118,2,0.555556
"87",119,2,0.416667
"88",121,2,0.416667
"89",122,1,0.272727
"90",124,1,0.571429
"91",125,1,0.583333
"92",126,1,0.142857
"93",128,1,0.5
"94",129,2,0.25
"95",130,1,0.375
"96",131,1,0.75
"97",132,1,0.4
"98",136,2,0.636364
"99",137,2,0.5
"100",138,1,0.416667
"101",139,2,0.0833333
