BasicFollowedDirections,ExpCond,flagged,ppnr,bright,welllit,WellLitSca
1,1,1,1,6,6,6
1,-1,1,2,3,3,3
1,1,1,3,3,5,4
1,1,1,4,4,5,4.5
1,-1,1,5,2,5,3.5
1,-1,1,7,3,3,3
1,1,1,7,6,5,5.5
1,-1,1,8,6,6,6
1,1,1,9,6,6,6
1,1,1,10,4,4,4
1,-1,1,11,5,6,5.5
1,1,1,12,2,3,2.5
1,1,1,13,3,5,4
1,-1,1,14,5,6,5.5
1,1,1,15,2,6,4
1,-1,1,16,4,6,5
1,1,1,17,4,5,4.5
1,-1,1,18,3,5,4
1,1,1,19,3,3,3
1,-1,1,20,5,5,5
1,1,1,21,4,6,5
1,-1,1,22,5,7,6
1,-1,1,23,3,6,4.5
1,1,1,24,6,7,6.5
1,1,1,25,6,6,6
1,-1,1,26,6,6,6
1,1,1,27,4,6,5
1,-1,1,28,5,6,5.5
1,-1,1,30,4,7,5.5
1,1,1,31,5,6,5.5
1,-1,1,32,5,6,5.5
1,-1,1,33,6,6,6
1,1,1,34,6,7,6.5
1,1,1,35,4,3,3.5
1,-1,1,36,5,6,5.5
1,1,1,37,6,5,5.5
1,-1,1,38,6,7,6.5
1,-1,1,39,5,4,4.5
1,1,1,40,5,4,4.5
1,-1,1,41,3,5,4
1,1,1,42,3,4,3.5
1,-1,1,43,4,6,5
1,1,1,44,4,6,5
1,1,1,46,3,5,4
1,1,1,47,5,6,5.5
1,-1,1,48,4,6,5
1,-1,1,49,1,3,2
1,1,1,50,3,4,3.5
1,1,1,52,3,3,3
1,1,1,53,3,3,3
1,-1,1,54,5,6,5.5
1,-1,1,55,5,5,5
1,1,1,56,5,7,6
1,1,1,57,3,5,4
1,-1,1,58,4,5,4.5
1,1,1,59,3,6,4.5
1,1,1,61,5,6,5.5
1,1,1,63,3,4,3.5
1,-1,1,64,6,7,6.5
1,-1,1,65,6,7,6.5
1,1,1,66,6,7,6.5
1,1,1,68,5,6,5.5
1,-1,1,69,5,6,5.5
1,-1,1,70,2,5,3.5
1,-1,1,71,3,6,4.5
1,-1,1,72,5,6,5.5
1,1,1,73,5,7,6
1,1,1,74,7,7,7
1,1,1,75,1,5,3
1,-1,1,76,3,5,4
1,-1,1,77,3,6,4.5
1,1,1,78,3,1,2
1,1,1,79,4,4,4
1,-1,1,80,5,3,4
1,-1,1,81,3,5,4
1,1,1,82,4,5,4.5
1,1,1,83,5,5,5
1,-1,1,84,6,6,6
1,1,1,85,1,6,3.5
1,-1,1,86,5,5,5
1,-1,1,87,3,5,4
1,-1,1,89,3,3,3
1,1,1,90,3,3,3
1,-1,1,91,5,5,5
1,1,1,92,5,7,6
1,1,1,93,4,5,4.5
1,-1,1,94,2,3,2.5
1,1,1,95,4,6,5
1,-1,1,96,4,4,4
1,-1,1,98,2,5,3.5
1,-1,1,99,5,5,5
1,1,1,100,3,6,4.5
1,-1,1,102,3,7,5
1,-1,1,103,5,7,6
1,1,1,104,6,6,6
1,-1,1,105,6,6,6
1,1,1,108,4,5,4.5
1,1,1,109,6,6,6
1,1,0.5,88,4,4,4
1,-1,0.5,107,4,4,4
